"Temperature","Magnetization"
0.2,0.05806000000000001
0.4,0.05591600000000001
0.6,0.05132
0.8,0.039948000000000004
1.0,0.034452
1.2,0.031312
1.4,0.026784
1.6,0.021043999999999997
1.8,0.020508000000000002
2.0,0.019184
2.2,0.01828
2.4,0.0184
2.6,0.017391999999999998
2.8,0.015404
3.0,0.015176000000000002
3.2,0.014983999999999999
3.4,0.014756000000000002
3.6,0.016484000000000002
3.8,0.014308000000000001
4.0,0.0132
4.2,0.012443999999999997
4.4,0.014272
4.6,0.014171999999999997
4.8,0.011240000000000002
5.0,0.012156
5.2,0.012396
5.4,0.01222
5.6,0.013439999999999999
5.8,0.011987999999999999
6.0,0.011040000000000001
6.2,0.012348
6.4,0.011467999999999999
6.6,0.010496
6.8,0.014100000000000001
7.0,0.012707999999999999
7.2,0.011628000000000001
7.4,0.01152
7.6,0.009928
7.8,0.011792
8.0,0.012407999999999999
8.2,0.011664
8.4,0.010888
8.6,0.010688
8.8,0.009956
9.0,0.012051999999999998
9.2,0.009755999999999999
9.4,0.012471999999999999
9.6,0.012792
9.8,0.011188
10.0,0.0101
