"Temperature","Magnetization"
0.1,0.8075000000000001
0.2,0.7755000000000001
0.3,0.7981000000000003
0.4,0.8344000000000003
0.5,0.8896999999999999
0.6,0.9420000000000001
0.7,0.985
0.8,0.9889499999999998
0.9,0.99735
1.0,0.9939500000000001
1.1,0.9897
1.2,0.9846499999999999
1.3,0.9752
1.4,0.9603999999999998
1.5,0.9385999999999999
1.6,0.9140499999999999
1.7,0.86875
1.8,0.8032999999999998
1.9,0.7064499999999998
2.0,0.6342
2.1,0.5522
2.2,0.46630000000000005
2.3,0.41855
2.4,0.3569
2.5,0.3180499999999999
2.6,0.28424999999999995
2.7,0.24939999999999998
2.8,0.2581999999999999
2.9,0.23254999999999992
3.0,0.21579999999999994
3.1,0.19769999999999996
3.2,0.20069999999999996
3.3,0.19874999999999993
3.4,0.1803
3.5,0.16989999999999988
3.6,0.15739999999999996
3.7,0.15609999999999993
3.8,0.1550499999999999
3.9,0.1442999999999999
4.0,0.15249999999999997
4.1,0.14084999999999995
4.2,0.14014999999999994
4.3,0.13824999999999996
4.4,0.13734999999999994
4.5,0.13509999999999991
4.6,0.13339999999999994
4.7,0.12939999999999993
4.8,0.12599999999999995
4.9,0.13229999999999995
5.0,0.12969999999999993
5.1,0.11864999999999994
5.2,0.1268499999999999
5.3,0.12219999999999992
5.4,0.12604999999999997
5.5,0.11094999999999995
5.6,0.11934999999999991
5.7,0.11569999999999996
5.8,0.12039999999999995
5.9,0.1209499999999999
6.0,0.11824999999999994
6.1,0.11484999999999992
6.2,0.11494999999999994
6.3,0.12139999999999991
6.4,0.11624999999999992
6.5,0.10499999999999991
6.6,0.10924999999999996
6.7,0.10884999999999995
6.8,0.09404999999999994
6.9,0.11374999999999993
7.0,0.11334999999999994
7.1,0.11249999999999993
7.2,0.10999999999999993
7.3,0.10404999999999993
7.4,0.11149999999999992
7.5,0.10464999999999995
7.6,0.10464999999999995
7.7,0.09799999999999998
7.8,0.11344999999999991
7.9,0.10634999999999993
8.0,0.10609999999999994
8.1,0.10539999999999992
8.2,0.10584999999999996
8.3,0.10129999999999996
8.4,0.09874999999999991
8.5,0.10379999999999992
8.6,0.10334999999999994
8.7,0.09639999999999993
8.8,0.09924999999999992
8.9,0.1011499999999999
9.0,0.09939999999999995
9.1,0.10139999999999993
9.2,0.09379999999999993
9.3,0.09974999999999995
9.4,0.09204999999999992
9.5,0.09639999999999992
9.6,0.09849999999999991
9.7,0.09389999999999993
9.8,0.08979999999999995
9.9,0.09019999999999995
10.0,0.10924999999999993
